GBMA17979-19;Pongo abelii
GBMA17980-19;Pongo abelii
GBMA17981-19;Pongo abelii
GBMA17988-19;Pongo pygmaeus
GBMNA13235-19;Pongo pygmaeus
GBMNA16628-19;Pongo abelii
GBMTG078-16;Pongo pygmaeus
GBMTG119-16;Pongo abelii
GTENK012-11;Pongo abelii
GBMTG5367-16;Callithrix kuhlii
GBMNA13270-19;Plecturocebus donacophilus
GBMTG3031-16;Plecturocebus donacophilus
GBMTG4002-16;Saguinus oedipus
GBMNA13262-19;Saguinus oedipus
GBMA10254-15;Gorilla beringei graueri
GBMNA18475-19;Gorilla beringei
GBMNA18468-19;Gorilla beringei
GBMNA18474-19;Gorilla beringei
GBMNA18482-19;Gorilla beringei
GBMNA18495-19;Gorilla beringei
GBMNA18497-19;Gorilla beringei
GBMNA18515-19;Gorilla beringei
GBMNA18459-19;Gorilla beringei
GBMNA18467-19;Gorilla beringei
GBMNA18434-19;Gorilla beringei
GBMNA18507-19;Gorilla beringei
GBMNA18449-19;Gorilla beringei
GBMNA18487-19;Gorilla beringei
GBMNA18439-19;Gorilla beringei
GBMNA18479-19;Gorilla beringei
GBMNA18490-19;Gorilla beringei
GBMNA18494-19;Gorilla beringei
GBMNA18520-19;Gorilla beringei
GBMNA18523-19;Gorilla beringei
GBMNA18451-19;Gorilla beringei
GBMNA18541-19;Gorilla beringei
GBMNA18466-19;Gorilla beringei
GBMNA18521-19;Gorilla beringei
GBMNA18531-19;Gorilla beringei
GBMNA18483-19;Gorilla beringei
GBMNA18496-19;Gorilla beringei
GBMNA18501-19;Gorilla beringei
GBMNA18456-19;Gorilla beringei
GBMNA18533-19;Gorilla beringei
GBMNA18524-19;Gorilla beringei
GBMNA18489-19;Gorilla beringei
GBMNA18438-19;Gorilla beringei
GBMNA18444-19;Gorilla beringei
GBMNA18457-19;Gorilla beringei
GBMNA18508-19;Gorilla beringei
GBMNA18535-19;Gorilla beringei
GBMNA18529-19;Gorilla beringei
GBMNA18441-19;Gorilla beringei
GBMNA18527-19;Gorilla beringei
GBMNA18485-19;Gorilla beringei
GBMNA18536-19;Gorilla beringei
GBMNA18470-19;Gorilla beringei
GBMNA18525-19;Gorilla beringei
GBMNA18446-19;Gorilla beringei
GBMNA18506-19;Gorilla beringei
GBMNA18537-19;Gorilla beringei
GBMNA18522-19;Gorilla beringei
GBMNA18436-19;Gorilla beringei
GBMNA18473-19;Gorilla beringei
GBMNA18484-19;Gorilla beringei
GBMNA18481-19;Gorilla beringei
GBMNA18450-19;Gorilla beringei
GBMNA18464-19;Gorilla beringei
GBMNA18498-19;Gorilla beringei
GBMNA18453-19;Gorilla beringei
GBMNA18519-19;Gorilla beringei
GBMNA18510-19;Gorilla beringei
GBMNA18532-19;Gorilla beringei
GBMNA18486-19;Gorilla beringei
GBMNA18503-19;Gorilla beringei
GBMNA18505-19;Gorilla beringei
GBMNA18491-19;Gorilla beringei
GBMNA18516-19;Gorilla beringei
GBMNA18538-19;Gorilla beringei
GBMNA18465-19;Gorilla beringei
GBMNA18435-19;Gorilla beringei
GBMNA18447-19;Gorilla beringei
GBMNA18539-19;Gorilla beringei
GBMNA18513-19;Gorilla beringei
GBMNA18460-19;Gorilla beringei
GBMNA18480-19;Gorilla beringei
GBMNA18540-19;Gorilla beringei
GBMNA18500-19;Gorilla beringei
GBMNA18504-19;Gorilla beringei
GBMNA18534-19;Gorilla beringei
GBMNA18517-19;Gorilla beringei
GBMNA18440-19;Gorilla beringei
GBMNA18499-19;Gorilla beringei
GBMNA18472-19;Gorilla beringei
GBMNA18455-19;Gorilla beringei
GBMNA18509-19;Gorilla beringei
GBMNA18461-19;Gorilla beringei
GBMNA18512-19;Gorilla beringei
GBMNA18518-19;Gorilla beringei
GBMNA18448-19;Gorilla beringei
GBMNA18526-19;Gorilla beringei
GBMNA18442-19;Gorilla beringei
GBMNA18445-19;Gorilla beringei
GBMNA18463-19;Gorilla beringei
GBMNA18437-19;Gorilla beringei
GBMNA16929-19;Gorilla beringei graueri
GBMNA18502-19;Gorilla beringei
GBMNA18454-19;Gorilla beringei
GBMNA18471-19;Gorilla beringei
GBMNA18476-19;Gorilla beringei
GBMNA18452-19;Gorilla beringei
GBMNA18488-19;Gorilla beringei
GBMNA18469-19;Gorilla beringei
GBMNA18462-19;Gorilla beringei
GBMNA18478-19;Gorilla beringei
GBMNA18493-19;Gorilla beringei
GBMNA18458-19;Gorilla beringei
GBMNA18530-19;Gorilla beringei
GBMNA18514-19;Gorilla beringei
GBMNA18492-19;Gorilla beringei
GBMNA18528-19;Gorilla beringei
GBMNA18511-19;Gorilla beringei
GBMNA18477-19;Gorilla beringei
GBMNA18443-19;Gorilla beringei
GBMNA18417-19;Gorilla beringei
GBMNA13230-19;Gorilla beringei
GBMNA18422-19;Gorilla beringei
GBMNA18420-19;Gorilla beringei
GBMNA18419-19;Gorilla beringei
GBMNA18433-19;Gorilla beringei
GBMNA18430-19;Gorilla beringei
GBMNA18426-19;Gorilla beringei
GBMNA18428-19;Gorilla beringei
GBMNA18429-19;Gorilla beringei
GBMNA18427-19;Gorilla beringei
GBMNA18432-19;Gorilla beringei
GBMNA18424-19;Gorilla beringei
GBMNA18431-19;Gorilla beringei
GBMNA18423-19;Gorilla beringei
GBMNA18416-19;Gorilla beringei
GBMNA18421-19;Gorilla beringei
GBMNA18425-19;Gorilla beringei
GBMNA18418-19;Gorilla beringei
GBMNA18575-19;Gorilla beringei
GBMA17259-19;Gorilla gorilla gorilla
GBMA17256-19;Gorilla gorilla gorilla
GBMA17257-19;Gorilla gorilla gorilla
GBMNA16921-19;Gorilla gorilla gorilla
GBMA17258-19;Gorilla gorilla gorilla
GBMNA13229-19;Gorilla gorilla
GBMTG077-16;Gorilla gorilla
GBMNA16627-19;Gorilla gorilla gorilla
GBMTG1341-16;Gorilla gorilla gorilla
GTENK014-11;Gorilla gorilla
GBMA17420-19;Sapajus apella
GBMTG2010-16;Sapajus apella
GBMNA13267-19;Saimiri oerstedii citrinellus
GBMTG3655-16;Saimiri oerstedii citrinellus
GBMA17437-19;Saimiri sciureus
GBMNA13266-19;Saimiri sciureus
GBMTG1624-16;Saimiri sciureus
GBMNA13265-19;Saimiri boliviensis
GBMTG4023-16;Saimiri boliviensis
GBMA17381-19;Saimiri boliviensis boliviensis
GBMTG2642-16;Saimiri boliviensis boliviensis
GBMNA13263-19;Cebus albifrons
GBMTG170-16;Cebus albifrons
GBMTG3656-16;Sapajus xanthosternos
GBMNA13264-19;Sapajus xanthosternos
GBMTG3961-16;Leontopithecus rosalia
GBMNA13260-19;Leontopithecus rosalia
GBMNA18576-19;Leontopithecus chrysopygus
GBMNA13261-19;Leontopithecus chrysopygus
GBMNA13271-19;Cacajao calvus
GBMTG3831-16;Cacajao calvus
GBMNA13272-19;Chiropotes israelita
GBMTG4733-16;Chiropotes israelita
GBMTG3909-16;Chiropotes albinasus
GBMNA13273-19;Chiropotes albinasus
GBMTG4843-16;Callimico goeldii
GBMNA13254-19;Callimico goeldii
GBMTG3641-16;Callithrix pygmaea
GBMNA13259-19;Callithrix pygmaea
GBMA17417-19;Callithrix penicillata
GBMNA13258-19;Callithrix penicillata
GBMTG3843-16;Callithrix jacchus
GBMNA13256-19;Callithrix jacchus
GBMA17416-19;Callithrix kuhlii
GBMNA13257-19;Callithrix kuhlii
GBMTG3841-16;Callithrix geoffroyi
GBMNA13255-19;Callithrix geoffroyi
GBMTG4842-16;Cheracebus lugens
GBMNA13268-19;Cheracebus lugens
GBMTG3836-16;Plecturocebus cupreus
GBMNA13269-19;Plecturocebus cupreus
GBMA17404-19;Aotus trivirgatus
GBMA17406-19;Aotus trivirgatus
GBMA17405-19;Aotus trivirgatus
GBMTG3753-16;Aotus azarae
