,x,y,z,order,family,order_eng,family_eng
Ornithorhynchidae,-0.15013210954174652,-0.6508735937794322,-0.7427717079741621,Monotremata,Ornithorhynchidae,egg-laying mammals,platypus
Tachyglossidae,-0.15088063879614022,-0.6504042436223012,-0.7430460583616325,Monotremata,Tachyglossidae,egg-laying mammals,echidnas
Didelphidae,-0.15005133212489283,-0.6500047583466502,-0.7375001873473203,Didelphimorphia,Didelphidae,Opossums,American opossums
Caenolestidae,-0.1533413486507306,-0.6496081145114363,-0.7436329893463007,Paucituberculata,Caenolestidae,shrew opossums,shrew opossums
Microbiotheriidae,-0.1508262229961221,-0.6496215092302698,-0.7368847924984687,Microbiotheria,Microbiotheriidae,Monito del monte,Monito del Monte
Thylacinidae,-0.1493461276158176,-0.6506650222396001,-0.7408256559104255,Dasyuromorphia,Thylacinidae,Dasyuromorphia,Thylacine
Dasyuridae,-0.14969865955835657,-0.6500835851769861,-0.7398775798182392,Dasyuromorphia,Dasyuridae,Dasyuromorphia,Dasyuridae
Myrmecobiidae,-0.1499787516700504,-0.6501904063539321,-0.7413245201519326,Dasyuromorphia,Myrmecobiidae,Dasyuromorphia,Numbat
Macropodidae,-0.15174138736965165,-0.6492012961160181,-0.7419002073234374,Diprotodontia,Macropodidae,Diprotodontia,Macropodidae
Petauridae,-0.1515326787764155,-0.648780534942656,-0.7398121018215685,Diprotodontia,Petauridae,Diprotodontia,gliding and striped possums
Phalangeridae,-0.15284759655092525,-0.6491331260361988,-0.7426822157803912,Diprotodontia,Phalangeridae,Diprotodontia,possums and cuscuses
Vombatidae,-0.1543938381652512,-0.6491193044683531,-0.7431672627982754,Diprotodontia,Vombatidae,Diprotodontia,wombats
Burramyidae,-0.15398885929026077,-0.64824249058822,-0.7410017808505407,Diprotodontia,Burramyidae,Diprotodontia,pygmy possums
Pseudocheiridae,-0.15325609981141078,-0.648154503607515,-0.7394560145767982,Diprotodontia,Pseudocheiridae,Diprotodontia,ring-tailed possums
Acrobatidae,-0.15262582643953726,-0.6484391432764943,-0.7405514068476489,Diprotodontia,Acrobatidae,Diprotodontia,feather-tailed possums
Phascolarctidae,-0.15204892875190004,-0.6485438051033943,-0.7387261929011151,Diprotodontia,Phascolarctidae,Diprotodontia,koalas
Tarsipedidae,-0.15269976080291237,-0.6483044007171863,-0.7388853472966084,Diprotodontia,Tarsipedidae,Diprotodontia,honey possums
Potoroidae,-0.15442060086513326,-0.6485466861778145,-0.7420536906192936,Diprotodontia,Potoroidae,Diprotodontia,Rat-kangaroos
